,Unnamed: 0,Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Normalized Sales,Category,Month,Year
72,72,73,2023-08-21,CUST073,Male,29,Electronics,3,30,90,0.0329113924050632,Low,8,2023
73,73,74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000,1.0,High,11,2023
74,74,75,2023-07-06,CUST075,Male,61,Beauty,4,50,200,0.0886075949367088,Madium,7,2023
75,75,76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,0.0379746835443038,Low,3,2023
76,76,77,2023-07-09,CUST077,Female,47,Clothing,2,50,100,0.0379746835443038,Low,7,2023
77,77,78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500,0.7468354430379747,High,7,2023
78,78,79,2023-04-18,CUST079,Male,34,Beauty,1,300,300,0.1392405063291139,Madium,4,2023
79,79,80,2023-12-10,CUST080,Female,64,Clothing,2,30,60,0.0177215189873417,Low,12,2023
80,80,81,2023-05-17,CUST081,Male,40,Electronics,1,50,50,0.0126582278481012,Low,5,2023
81,81,82,2023-12-26,CUST082,Female,32,Beauty,4,50,200,0.0886075949367088,Madium,12,2023
82,82,83,2023-12-16,CUST083,Male,54,Electronics,2,50,100,0.0379746835443038,Low,12,2023
83,83,84,2023-11-28,CUST084,Female,38,Electronics,3,30,90,0.0329113924050632,Low,11,2023
84,84,85,2023-02-06,CUST085,Male,31,Clothing,3,50,150,0.0632911392405063,Madium,2,2023
85,85,86,2023-11-08,CUST086,Male,19,Beauty,3,30,90,0.0329113924050632,Low,11,2023
86,86,87,2023-11-22,CUST087,Female,28,Beauty,2,50,100,0.0379746835443038,Low,11,2023
87,87,88,2023-03-29,CUST088,Male,56,Clothing,1,500,500,0.240506329113924,Madium,3,2023
88,88,89,2023-10-01,CUST089,Female,55,Electronics,4,500,2000,1.0,High,10,2023
89,89,90,2023-05-06,CUST090,Female,51,Electronics,1,30,30,0.0025316455696202,Low,5,2023
90,90,91,2023-03-25,CUST091,Female,55,Electronics,1,500,500,0.240506329113924,Madium,3,2023
91,91,92,2023-08-25,CUST092,Female,51,Electronics,4,30,120,0.0481012658227848,Madium,8,2023
92,92,93,2023-07-14,CUST093,Female,35,Beauty,4,500,2000,1.0,High,7,2023
93,93,94,2023-05-19,CUST094,Female,47,Beauty,2,500,1000,0.4936708860759494,High,5,2023
94,94,95,2023-11-24,CUST095,Female,32,Clothing,2,30,60,0.0177215189873417,Low,11,2023
95,95,96,2023-12-19,CUST096,Female,44,Clothing,2,300,600,0.2911392405063291,,12,2023
96,96,97,2023-10-13,CUST097,Female,51,Beauty,2,500,1000,0.4936708860759494,High,10,2023
97,97,98,2023-04-23,CUST098,Female,55,Beauty,2,50,100,0.0379746835443038,Low,4,2023
98,98,99,2023-12-17,CUST099,Female,50,Electronics,4,300,1200,0.5949367088607594,High,12,2023
99,99,100,2023-06-16,CUST100,Male,41,Electronics,1,30,30,0.0025316455696202,Low,6,2023
100,100,101,2023-01-29,CUST101,Male,32,Clothing,2,300,600,0.2911392405063291,,1,2023
101,101,102,2023-04-28,CUST102,Female,47,Beauty,2,25,50,0.0126582278481012,Low,4,2023
102,102,103,2023-01-17,CUST103,Female,59,Clothing,1,25,25,0.0,Low,1,2023
103,103,104,2023-06-11,CUST104,Female,34,Beauty,2,500,1000,0.4936708860759494,High,6,2023
104,104,105,2023-07-25,CUST105,Female,22,Electronics,1,500,500,0.240506329113924,Madium,7,2023
105,105,106,2023-05-18,CUST106,Female,46,Clothing,1,50,50,0.0126582278481012,Low,5,2023
106,106,107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200,0.5949367088607594,High,2,2023
107,107,108,2023-04-19,CUST108,Female,27,Beauty,3,25,75,0.0253164556962025,Low,4,2023
108,108,109,2023-10-18,CUST109,Female,34,Electronics,4,500,2000,1.0,High,10,2023
109,109,110,2023-06-11,CUST110,Male,27,Clothing,3,300,900,0.4430379746835443,,6,2023
110,110,111,2023-04-19,CUST111,Female,34,Electronics,3,500,1500,0.7468354430379747,High,4,2023
111,111,112,2023-12-02,CUST112,Male,37,Clothing,3,500,1500,0.7468354430379747,High,12,2023
112,112,113,2023-09-13,CUST113,Female,41,Electronics,2,25,50,0.0126582278481012,Low,9,2023
113,113,114,2023-07-22,CUST114,Female,22,Beauty,4,25,100,0.0379746835443038,Low,7,2023
114,114,115,2023-11-26,CUST115,Male,51,Clothing,3,500,1500,0.7468354430379747,High,11,2023
115,115,116,2023-08-23,CUST116,Female,23,Clothing,1,30,30,0.0025316455696202,Low,8,2023
116,116,117,2023-03-15,CUST117,Male,19,Electronics,2,500,1000,0.4936708860759494,High,3,2023
117,117,118,2023-05-16,CUST118,Female,30,Electronics,4,500,2000,1.0,High,5,2023
118,118,119,2023-03-13,CUST119,Female,60,Clothing,3,50,150,0.0632911392405063,Madium,3,2023
119,119,120,2023-05-07,CUST120,Male,60,Beauty,1,50,50,0.0126582278481012,Low,5,2023
120,120,121,2023-10-15,CUST121,Female,28,Electronics,4,50,200,0.0886075949367088,Madium,10,2023
121,121,122,2023-10-03,CUST122,Male,64,Electronics,4,30,120,0.0481012658227848,Madium,10,2023
122,122,123,2023-05-15,CUST123,Female,40,Electronics,2,30,60,0.0177215189873417,Low,5,2023
123,123,124,2023-10-27,CUST124,Male,33,Clothing,4,500,2000,1.0,High,10,2023
124,124,125,2023-08-08,CUST125,Male,48,Clothing,2,50,100,0.0379746835443038,Low,8,2023
125,125,126,2023-10-26,CUST126,Female,28,Clothing,3,30,90,0.0329113924050632,Low,10,2023
126,126,127,2023-07-24,CUST127,Female,33,Clothing,2,25,50,0.0126582278481012,Low,7,2023
127,127,128,2023-07-05,CUST128,Male,25,Beauty,1,500,500,0.240506329113924,Madium,7,2023
128,128,129,2023-04-23,CUST129,Female,21,Beauty,2,300,600,0.2911392405063291,,4,2023
129,129,130,2023-03-12,CUST130,Female,57,Clothing,1,500,500,0.240506329113924,Madium,3,2023
130,130,131,2023-09-18,CUST131,Female,21,Beauty,2,300,600,0.2911392405063291,,9,2023
131,131,132,2023-09-10,CUST132,Male,42,Electronics,4,50,200,0.0886075949367088,Madium,9,2023
132,132,133,2023-02-16,CUST133,Male,20,Electronics,3,300,900,0.4430379746835443,,2,2023
133,133,134,2023-01-25,CUST134,Male,49,Electronics,1,50,50,0.0126582278481012,Low,1,2023
134,134,135,2023-02-26,CUST135,Male,20,Clothing,2,25,50,0.0126582278481012,Low,2,2023
135,135,136,2023-03-20,CUST136,Male,44,Electronics,2,300,600,0.2911392405063291,,3,2023
136,136,137,2023-11-18,CUST137,Male,46,Beauty,2,500,1000,0.4936708860759494,High,11,2023
137,137,138,2023-03-23,CUST138,Male,49,Clothing,4,50,200,0.0886075949367088,Madium,3,2023
138,138,139,2023-12-15,CUST139,Male,36,Beauty,4,500,2000,1.0,High,12,2023
139,139,140,2023-08-05,CUST140,Male,38,Electronics,1,30,30,0.0025316455696202,Low,8,2023
140,140,141,2023-11-02,CUST141,Female,22,Electronics,1,50,50,0.0126582278481012,Low,11,2023
141,141,142,2023-02-02,CUST142,Male,35,Electronics,4,300,1200,0.5949367088607594,High,2,2023
142,142,143,2023-07-17,CUST143,Female,45,Clothing,1,50,50,0.0126582278481012,Low,7,2023
143,143,144,2023-07-15,CUST144,Female,59,Beauty,3,500,1500,0.7468354430379747,High,7,2023
144,144,145,2023-11-02,CUST145,Female,39,Clothing,3,25,75,0.0253164556962025,Low,11,2023
145,145,146,2023-08-28,CUST146,Male,38,Clothing,4,50,200,0.0886075949367088,Madium,8,2023
146,146,147,2023-09-28,CUST147,Male,23,Electronics,1,300,300,0.1392405063291139,Madium,9,2023
147,147,148,2023-05-09,CUST148,Male,18,Clothing,2,30,60,0.0177215189873417,Low,5,2023
148,148,149,2023-10-11,CUST149,Male,22,Clothing,3,25,75,0.0253164556962025,Low,10,2023
149,149,150,2023-01-06,CUST150,Female,58,Electronics,4,30,120,0.0481012658227848,Madium,1,2023
150,150,151,2023-12-15,CUST151,Male,29,Clothing,1,50,50,0.0126582278481012,Low,12,2023
151,151,152,2023-02-28,CUST152,Male,43,Electronics,4,500,2000,1.0,High,2,2023
152,152,153,2023-12-16,CUST153,Male,63,Electronics,2,500,1000,0.4936708860759494,High,12,2023
153,153,154,2023-10-02,CUST154,Male,51,Electronics,3,300,900,0.4430379746835443,,10,2023
154,154,155,2023-05-17,CUST155,Male,31,Electronics,4,500,2000,1.0,High,5,2023
155,155,156,2023-11-25,CUST156,Female,43,Clothing,4,25,100,0.0379746835443038,Low,11,2023
156,156,157,2023-06-24,CUST157,Male,62,Electronics,4,500,2000,1.0,High,6,2023
157,157,158,2023-02-27,CUST158,Female,44,Electronics,2,300,600,0.2911392405063291,,2,2023
158,158,159,2023-05-31,CUST159,Male,26,Clothing,4,50,200,0.0886075949367088,Madium,5,2023
159,159,160,2023-08-11,CUST160,Female,43,Clothing,2,50,100,0.0379746835443038,Low,8,2023
160,160,161,2023-03-22,CUST161,Male,64,Beauty,2,500,1000,0.4936708860759494,High,3,2023
161,161,162,2023-08-21,CUST162,Male,39,Clothing,2,30,60,0.0177215189873417,Low,8,2023
162,162,163,2023-01-02,CUST163,Female,64,Clothing,3,50,150,0.0632911392405063,Madium,1,2023
163,163,164,2023-05-15,CUST164,Female,47,Beauty,3,500,1500,0.7468354430379747,High,5,2023
164,164,165,2023-09-14,CUST165,Female,60,Clothing,4,300,1200,0.5949367088607594,High,9,2023
165,165,166,2023-04-02,CUST166,Male,34,Clothing,4,500,2000,1.0,High,4,2023
166,166,167,2023-09-17,CUST167,Female,43,Clothing,3,50,150,0.0632911392405063,Madium,9,2023
167,167,168,2023-02-24,CUST168,Male,53,Clothing,1,300,300,0.1392405063291139,Madium,2,2023
168,168,169,2023-11-17,CUST169,Male,18,Beauty,3,500,1500,0.7468354430379747,High,11,2023
169,169,170,2023-06-02,CUST170,Female,25,Clothing,2,25,50,0.0126582278481012,Low,6,2023
170,170,171,2023-11-24,CUST171,Female,52,Clothing,3,300,900,0.4430379746835443,,11,2023
171,171,172,2023-09-17,CUST172,Male,32,Beauty,2,25,50,0.0126582278481012,Low,9,2023
172,172,173,2023-11-08,CUST173,Male,64,Electronics,4,30,120,0.0481012658227848,Madium,11,2023
173,173,174,2023-04-12,CUST174,Female,39,Beauty,1,300,300,0.1392405063291139,Madium,4,2023
174,174,175,2023-03-20,CUST175,Female,31,Electronics,4,25,100,0.0379746835443038,Low,3,2023
175,175,176,2023-07-11,CUST176,Female,43,Beauty,2,50,100,0.0379746835443038,Low,7,2023
176,176,177,2023-03-24,CUST177,Male,45,Beauty,2,50,100,0.0379746835443038,Low,3,2023
177,177,178,2023-10-04,CUST178,Male,40,Clothing,2,30,60,0.0177215189873417,Low,10,2023
178,178,179,2023-09-29,CUST179,Male,31,Electronics,1,300,300,0.1392405063291139,Madium,9,2023
179,179,180,2023-01-01,CUST180,Male,41,Clothing,3,300,900,0.4430379746835443,,1,2023
180,180,181,2023-11-03,CUST181,Male,19,Electronics,4,300,1200,0.5949367088607594,High,11,2023
181,181,182,2023-06-15,CUST182,Male,62,Beauty,4,30,120,0.0481012658227848,Madium,6,2023
182,182,183,2023-09-08,CUST183,Female,43,Beauty,3,300,900,0.4430379746835443,,9,2023
183,183,184,2023-01-10,CUST184,Male,31,Electronics,4,50,200,0.0886075949367088,Madium,1,2023
184,184,185,2023-02-27,CUST185,Male,24,Clothing,1,25,25,0.0,Low,2,2023
185,185,186,2023-07-05,CUST186,Male,20,Clothing,4,50,200,0.0886075949367088,Madium,7,2023
186,186,187,2023-06-07,CUST187,Female,64,Clothing,2,50,100,0.0379746835443038,Low,6,2023
187,187,188,2023-05-03,CUST188,Male,40,Clothing,3,25,75,0.0253164556962025,Low,5,2023
188,188,189,2023-01-30,CUST189,Male,63,Beauty,1,50,50,0.0126582278481012,Low,1,2023
189,189,190,2023-05-04,CUST190,Female,60,Beauty,3,30,90,0.0329113924050632,Low,5,2023
190,190,191,2023-10-18,CUST191,Male,64,Beauty,1,25,25,0.0,Low,10,2023
191,191,192,2023-02-10,CUST192,Male,62,Beauty,2,50,100,0.0379746835443038,Low,2,2023
192,192,193,2023-02-13,CUST193,Male,35,Beauty,3,500,1500,0.7468354430379747,High,2,2023
193,193,194,2023-09-06,CUST194,Male,55,Clothing,4,50,200,0.0886075949367088,Madium,9,2023
194,194,195,2023-02-05,CUST195,Male,52,Clothing,1,30,30,0.0025316455696202,Low,2,2023
195,195,196,2023-09-30,CUST196,Female,32,Clothing,3,300,900,0.4430379746835443,,9,2023
196,196,197,2023-03-06,CUST197,Female,42,Clothing,4,50,200,0.0886075949367088,Madium,3,2023
197,197,198,2023-03-07,CUST198,Female,54,Beauty,3,300,900,0.4430379746835443,,3,2023
198,198,199,2023-12-04,CUST199,Male,45,Beauty,3,500,1500,0.7468354430379747,High,12,2023
199,199,200,2023-09-01,CUST200,Male,27,Beauty,3,50,150,0.0632911392405063,Madium,9,2023
200,200,201,2023-10-09,CUST201,Male,56,Electronics,1,25,25,0.0,Low,10,2023
201,201,202,2023-03-26,CUST202,Female,34,Clothing,4,300,1200,0.5949367088607594,High,3,2023
202,202,203,2023-05-16,CUST203,Male,56,Clothing,2,500,1000,0.4936708860759494,High,5,2023
203,203,204,2023-09-28,CUST204,Male,39,Beauty,1,25,25,0.0,Low,9,2023
204,204,205,2023-11-07,CUST205,Female,43,Clothing,1,25,25,0.0,Low,11,2023
205,205,206,2023-08-05,CUST206,Male,61,Clothing,1,25,25,0.0,Low,8,2023
206,206,207,2023-04-19,CUST207,Female,42,Beauty,2,25,50,0.0126582278481012,Low,4,2023
207,207,208,2023-10-04,CUST208,Female,34,Electronics,4,50,200,0.0886075949367088,Madium,10,2023
208,208,209,2023-12-20,CUST209,Female,30,Electronics,4,50,200,0.0886075949367088,Madium,12,2023
209,209,210,2023-04-13,CUST210,Male,37,Electronics,4,50,200,0.0886075949367088,Madium,4,2023
210,210,211,2024-01-01,CUST211,Male,42,Beauty,3,500,1500,0.7468354430379747,High,1,2024
211,211,212,2023-06-09,CUST212,Male,21,Clothing,3,500,1500,0.7468354430379747,High,6,2023
212,212,213,2023-07-24,CUST213,Male,27,Beauty,3,500,1500,0.7468354430379747,High,7,2023
213,213,214,2023-12-10,CUST214,Male,20,Beauty,2,30,60,0.0177215189873417,Low,12,2023
214,214,215,2023-11-29,CUST215,Male,58,Clothing,3,500,1500,0.7468354430379747,High,11,2023
215,215,216,2023-07-11,CUST216,Male,62,Electronics,2,50,100,0.0379746835443038,Low,7,2023
216,216,217,2023-08-13,CUST217,Female,35,Electronics,4,50,200,0.0886075949367088,Madium,8,2023
217,217,218,2023-09-22,CUST218,Male,64,Beauty,3,30,90,0.0329113924050632,Low,9,2023
218,218,219,2023-08-20,CUST219,Female,53,Electronics,3,30,90,0.0329113924050632,Low,8,2023
219,219,220,2023-03-03,CUST220,Male,64,Beauty,1,500,500,0.240506329113924,Madium,3,2023
220,220,221,2023-05-07,CUST221,Male,39,Beauty,2,300,600,0.2911392405063291,,5,2023
221,221,222,2023-04-26,CUST222,Male,51,Clothing,4,30,120,0.0481012658227848,Madium,4,2023
222,222,223,2023-02-02,CUST223,Female,64,Clothing,1,25,25,0.0,Low,2,2023
223,223,224,2023-06-23,CUST224,Female,25,Clothing,1,50,50,0.0126582278481012,Low,6,2023
224,224,225,2023-01-11,CUST225,Female,57,Beauty,4,25,100,0.0379746835443038,Low,1,2023
225,225,226,2023-10-29,CUST226,Female,61,Clothing,1,50,50,0.0126582278481012,Low,10,2023
226,226,227,2023-10-11,CUST227,Male,36,Electronics,2,50,100,0.0379746835443038,Low,10,2023
227,227,228,2023-04-28,CUST228,Female,59,Electronics,2,30,60,0.0177215189873417,Low,4,2023
228,228,229,2023-10-29,CUST229,Male,58,Beauty,3,30,90,0.0329113924050632,Low,10,2023
229,229,230,2023-04-23,CUST230,Male,54,Beauty,1,25,25,0.0,Low,4,2023
230,230,231,2023-01-04,CUST231,Female,23,Clothing,3,50,150,0.0632911392405063,Madium,1,2023
231,231,232,2023-02-06,CUST232,Female,43,Beauty,1,25,25,0.0,Low,2,2023
232,232,233,2023-12-29,CUST233,Female,51,Beauty,2,300,600,0.2911392405063291,,12,2023
233,233,234,2023-11-20,CUST234,Female,62,Electronics,2,25,50,0.0126582278481012,Low,11,2023
234,234,235,2023-01-31,CUST235,Female,23,Electronics,2,500,1000,0.4936708860759494,High,1,2023
235,235,236,2023-04-28,CUST236,Female,54,Clothing,1,25,25,0.0,Low,4,2023
236,236,237,2023-02-04,CUST237,Female,50,Beauty,2,500,1000,0.4936708860759494,High,2,2023
237,237,238,2023-01-17,CUST238,Female,39,Beauty,1,500,500,0.240506329113924,Madium,1,2023
238,238,239,2023-06-19,CUST239,Male,38,Electronics,3,500,1500,0.7468354430379747,High,6,2023
239,239,240,2023-02-06,CUST240,Female,23,Beauty,1,300,300,0.1392405063291139,Madium,2,2023
240,240,241,2023-09-21,CUST241,Female,23,Electronics,3,25,75,0.0253164556962025,Low,9,2023
241,241,242,2023-05-02,CUST242,Male,21,Clothing,1,25,25,0.0,Low,5,2023
242,242,243,2023-05-23,CUST243,Female,47,Electronics,3,300,900,0.4430379746835443,,5,2023
243,243,244,2023-12-09,CUST244,Male,28,Beauty,2,50,100,0.0379746835443038,Low,12,2023
244,244,245,2023-09-06,CUST245,Male,47,Clothing,3,30,90,0.0329113924050632,Low,9,2023
245,245,246,2023-04-20,CUST246,Female,48,Electronics,2,25,50,0.0126582278481012,Low,4,2023
246,246,247,2023-10-04,CUST247,Male,41,Electronics,2,30,60,0.0177215189873417,Low,10,2023
247,247,248,2023-03-09,CUST248,Male,26,Clothing,3,300,900,0.4430379746835443,,3,2023
248,248,249,2023-10-20,CUST249,Male,20,Clothing,1,50,50,0.0126582278481012,Low,10,2023
249,249,250,2023-10-23,CUST250,Male,48,Electronics,1,50,50,0.0126582278481012,Low,10,2023
250,250,251,2023-08-31,CUST251,Female,57,Beauty,4,50,200,0.0886075949367088,Madium,8,2023
251,251,252,2023-05-05,CUST252,Male,54,Electronics,1,300,300,0.1392405063291139,Madium,5,2023
252,252,253,2023-08-31,CUST253,Female,53,Clothing,4,500,2000,1.0,High,8,2023
253,253,254,2023-07-28,CUST254,Male,41,Electronics,1,500,500,0.240506329113924,Madium,7,2023
254,254,255,2023-04-08,CUST255,Male,48,Clothing,1,30,30,0.0025316455696202,Low,4,2023
255,255,256,2023-02-18,CUST256,Male,23,Clothing,2,500,1000,0.4936708860759494,High,2,2023
256,256,257,2023-02-19,CUST257,Male,19,Beauty,4,500,2000,1.0,High,2,2023
257,257,258,2023-12-04,CUST258,Female,37,Clothing,1,50,50,0.0126582278481012,Low,12,2023
258,258,259,2023-08-09,CUST259,Female,45,Clothing,4,50,200,0.0886075949367088,Madium,8,2023
259,259,260,2023-07-01,CUST260,Male,28,Beauty,2,30,60,0.0177215189873417,Low,7,2023
260,260,261,2023-08-05,CUST261,Male,21,Clothing,2,25,50,0.0126582278481012,Low,8,2023
261,261,262,2023-07-30,CUST262,Female,32,Beauty,4,30,120,0.0481012658227848,Madium,7,2023
262,262,263,2023-08-28,CUST263,Male,23,Beauty,2,30,60,0.0177215189873417,Low,8,2023
263,263,264,2023-01-28,CUST264,Male,47,Clothing,3,300,900,0.4430379746835443,,1,2023
264,264,265,2023-12-11,CUST265,Male,55,Clothing,3,300,900,0.4430379746835443,,12,2023
265,265,266,2023-12-01,CUST266,Female,19,Electronics,2,30,60,0.0177215189873417,Low,12,2023
266,266,267,2023-11-27,CUST267,Female,32,Beauty,3,30,90,0.0329113924050632,Low,11,2023
267,267,268,2023-02-20,CUST268,Female,28,Electronics,1,30,30,0.0025316455696202,Low,2,2023
268,268,269,2023-02-01,CUST269,Male,25,Clothing,4,500,2000,1.0,High,2,2023
269,269,270,2023-07-26,CUST270,Male,43,Electronics,1,300,300,0.1392405063291139,Madium,7,2023
270,270,271,2023-06-23,CUST271,Female,62,Beauty,4,30,120,0.0481012658227848,Madium,6,2023
271,271,272,2023-02-25,CUST272,Female,61,Electronics,2,50,100,0.0379746835443038,Low,2,2023
272,272,273,2023-05-08,CUST273,Female,22,Beauty,1,50,50,0.0126582278481012,Low,5,2023
273,273,274,2023-04-09,CUST274,Female,23,Clothing,2,500,1000,0.4936708860759494,High,4,2023
